upc,title,description,image_url,product_url,piece_length,piece_width,piece_height
786138706280,Playhouse Dollhouse Set – Playmags,"GREAT FEATURES: Here's our new latest addition to our Playmags line! This Playhouse is taking things to greater heights and making the already enjoyable Playmags experience even greater by adding those cool, real-life features to our stock. This set includes 48 all magnetic pieces, 4 windows, 3 doors, 17 tiles, 10 roof tiles, 2 ceiling tiles, 4 roof sheets, 2 staircases and 2 support pole sets (6 pcs).
THE REAL DEAL: Watch your child's imagination wander and create his own little Playhouse exact",https://playmags.co.uk/wp-content/uploads/2022/02/mk102-2-600x600.jpg,https://playmags.co.uk/product/playhouse-dollhouse-set/,,,
86138804031,Magna Dots Large – Playmags,"LIGHTWEIGHT, SELF-CONTAINED: The magnetic drawing board for kids is easy to take everywhere, the board measures 12.5″, fits any travel bag and the pen is tethered by a string, so it won't get lost. It's the perfect toy for long road trips, airplane travel, restaurants, and outdoors!
SAFE & FUN FOR KIDS: Worry and stress free playing time your kids will actually love, the dots are perfectly sealed inside the board, little ones can enjoy playing and drawing"" for hours without the mess and risk-fr""",https://playmags.co.uk/wp-content/uploads/2022/02/178-2-600x600.jpg,https://playmags.co.uk/product/magna-dots-large/,,,
466138105305,Playmags 52-Piece City Construction Magnetic Tiles Set – Playmags,"52-Piece City Construction Set: Unleash creativity with this comprehensive Playmags set, featuring a vibrant assortment of magnetic tiles, road pieces, two poseable construction worker figures, traffic signs, and a fully functional crane!
Build Your Own City & Crane: Construct towering buildings, intricate roadways, and a dynamic crane with rotating (360°), flipping (180°), and extendable features. The possibilities for imaginative construction are endless!
Enhanced Durability with Rivets: Craft",https://playmags.co.uk/wp-content/uploads/2025/07/81Ghz4uoL1L._AC_SX679_-600x487.jpg,https://playmags.co.uk/product/playmags-52-piece-city-construction-magnetic-tiles-set/,,,
786138706655,FunTiles 113 Pc Set (English),,,,,,
786138707690,PLAYMAGS 15PC MAGNETIC FIGURES LARGE,,,,,,
786138709434,Playmags 130 Piece Deluxe Road Set,,,,,,
786138709441,Playmags 50 Piece Road Set,,,,,,
786138710294,Playmags 52pc Construction Set,,,,,,
786138710300,Playmags Cubies 64 Pc Classic Set,,,,,,
786138710379,Playmags 12pc animals,,,,,,
786138710386,Playmags Safari Set,,,,,,
86138106432,PLAYMAGS 150 PC SET,,,,,,
786138706662,PLAYMAGS 3D MAGNETIC TILES 32 PCS,,,,,,
786138711512,Playmags 60 pc square set,,,,,,
786138711086,Playmags 64pc Jumbo Cubies,,,,,,
786138711093,Playmags 32pc Jumbo Cubies,,,,,,
786138711109,Playmags 2 pc motorized car set,,,,,,
786138710522,FunTiles 100 Pc. Set,,,,,,
786138712151,MiniMags 27pc in tin,,,,,,
786138712168,MiniMags 57pc in tin,,,,,,
786138712175,MiniMags 42pc in case,,,,,,
786138712182,MiniMags 100pc in case,,,,,,
786138712199,Playmags Western Wall,,,,,,
682017400617,Playmags set of 2 cars,,,,,,
786138706563,PLAYMAGS MAGNETIC PUZZLE CUBE,,,,,,
786138706587,Playmags 18 Pc. Big Bricks Tile,,,,,,
86138800149,PLAYMAGS 60PC WINDOW SET,,,,,,
86138804048,Playmags Magna Drawing Board,,,,,,
86138103912,PLAYMAGS 50 PIECE SET,,,,,,
86138105305,PLAYMAG BOOK IDEA,,,,,,
86138800156,PLAYMAGS 80 PC SET,,,,,,
786138706570,Playmags 18 Pc. Small Bricks Tiles,,,,,,
786138703944,Playmags Magna Dots Large,,,,,,
786138706594,Playmags 200 Piece Set Magnetic Race Track,,,,,,
86138104605,PLAYMAGS 150 PCS SET,,,,,,
86138104919,PLAYMAGS MAGNA BOARD,,,,,,
86138106463,PLAYMAGS 32 PC STARTER SET,,,,,,
86138800125,PLAYMAGS STABILIZER MAGNABOARD,,,,,,
86138103943,PLAYMAGS 20 PIECES ACCESSORY,,,,,,
86138104612,PLAYMAGS CAR SET,,,,,,
86138800132,PLAYMAGS ABC CLICKENS 36PC,,,,,,
786138703821,PLAYMAGS 15PC MAGNETIC FIGURES,,,,,,
86138106456,PLAYMAGS DOME SET 28PC,,,,,,
86138106548,PLAYMAGS 132 PC (BUCKET),,,,,,
86138800279,PLAYMAGS MAGNA BOARD SET,,,,,,
86138102724,PLAYMAGS 100PC SET,,,,,,
86138103936,PLAYMAGS 30 PC Square Set,,,,,,
86138105329,PLAYMAGS ACCESSORIES SET 24PC,,,,,,
86138106425,PLAYMAGS ACCESORY SET 50PC,,,,,,
86138103929,PLAYMAGS CLASSIC SET 60PC,,,,,,
86138800163,PLAYMAGS ALEF BEIS SET 72 PCS,,,,,,
786138703951,Playmags Magna Dots Small,,,,,,
